model,experiment,epoch,train_loss,val_f1
GNN (Correlation),corr_edge_True,0,1.0833685516453475,0.23719600608670033
GNN (Correlation),corr_edge_True,1,1.072024262551781,0.3219604370853125
GNN (Correlation),corr_edge_True,2,1.068768634899057,0.2522881506003584
GNN (Correlation),corr_edge_True,3,1.0651450658016068,0.23019938609676735
GNN (Correlation),corr_edge_True,4,1.0581949841204308,0.1649729053048526
GNN (Correlation),corr_edge_True,5,1.050056906655538,0.19184130648913103
GNN (Correlation),corr_edge_True,6,1.0417782123997914,0.16303397197519934
GNN (Correlation),corr_edge_True,7,1.029794190170096,0.17472047259913
GNN (Correlation),corr_edge_True,8,1.015979581685375,0.17729490073206836
GNN (Correlation),corr_edge_True,9,1.0008797501059745,0.1805062291739844
GNN (Correlation),corr_edge_True,10,0.9881169231675512,0.18487955361958708
GNN (Correlation),corr_edge_True,11,0.9703723542553058,0.16625140955410264
GNN (Correlation),corr_edge_True,12,0.9524740059598744,0.17038935198297803
GNN (Correlation),corr_edge_True,13,0.9412495788910407,0.16896640692078316
GNN (Correlation),corr_edge_True,14,0.9313670130084745,0.17062714680183555
GNN (Correlation),corr_edge_True,15,0.9101433610744614,0.18184173765231493
GNN (Correlation),corr_edge_True,16,0.8963788635439153,0.18196258393123502
GNN (Correlation),corr_edge_True,17,0.8906096418126882,0.17606905072517545
GNN (Correlation),corr_edge_True,18,0.8792673993024894,0.17852599632748456
GNN (Correlation),corr_edge_True,19,0.8687196094355137,0.18837867282779794
GNN (Correlation),corr_edge_True,20,0.8546343756236618,0.1829335569410591
GNN (Correlation),corr_edge_True,21,0.8478029821630862,0.2050730472094896
GNN (Correlation),corr_edge_True,22,0.8422474714491864,0.1771610190595597
GNN (Correlation),corr_edge_True,23,0.8290321957078769,0.1851030328866526
GNN (Correlation),corr_edge_True,24,0.8239307150566321,0.19023211093766687
GNN (Correlation),corr_edge_True,25,0.8099839747380867,0.23223092977263407
GNN (Correlation),corr_edge_True,26,0.8046978829147147,0.2287529166438195
GNN (Correlation),corr_edge_True,27,0.7914070211297316,0.1947467277493763
GNN (Correlation),corr_edge_True,28,0.7888087086969142,0.18778482358439721
GNN (Correlation),corr_edge_True,29,0.7823219923021124,0.21821223087099942
GNN (Correlation),corr_edge_True,30,0.7738982376542023,0.21262596708763493
