model,experiment,best_epoch,best_val_f1,test_f1
GNN (Correlation),corr_edge_True,1.0,0.3219604370853125,0.3192198937775086
GNN (JS),js_edge_True,132.0,0.322631806767058,0.30303576688142825
LSTM,lstm_temporal,2.0,0.3386423967869765,0.34088383577901044
RANDOM_FOREST,random_forest,,0.3439852475812289,0.34656281742372275
